NAME,E,Protein,Lipit,Carbs,Fi,Cholesterol,Canxi,Photpho,Fe,Natri,Kali,B.Ca,A,b1,c
Bánh canh cua,379,21.4,8.4,54.3,2.19,0,0,0,0,0,0,0,0,0,0
Bánh canh giò heo,483,19,23.6,48.6,1.01,0,0,0,0,0,0,0,0,0,0
Bánh chưng,4.7,14.9,5.5,74.7,1.98,0,0,0,0,0,0,0,0,0,0
Bánh mì thịt,239,7.6,0.8,50.5,0.19,0,0,0,0,0,0,0,0,0,0
Bánh mì xíu mại,188.7,11.3,7.5,17.8,1.2,0,0,0,0,0,0,0,0,0,0
Bánh tét,407,14.9,5.5,74.7,1.98,0,0,0,0,0,0,0,0,0,0
Bánh ướt,749,15,19.3,70.9,4.31,0,0,0,0,0,0,0,0,0,0
Bún bò Huế,479,18.4,16,65.3,3.3,0,0,0,0,0,0,0,0,0,0
Bún mắm,480,28.2,15.5,56.8,3.26,0,0,0,0,0,0,0,0,0,0
Bún mộc,514,28.1,19.4,56.5,2.83,0,0,0,0,0,0,0,0,0,0
Bún thịt nướng,451,14.7,13.7,67.3,3.96,0,0,0,0,0,0,0,0,0,0
Bún thịt nướng chả giò,598,24,21.6,77.9,2.72,0,0,0,0,0,0,0,0,0,0
Cháo đậu đỏ,322,10.6,11.8,43.7,2.2,0,0,0,0,0,0,0,0,0,0
Cháo lòng,412,30.8,13.5,41.7,0.84,0,0,0,0,0,0,0,0,0,0
Hủ tíu bò kho,538,26,41.6,34.2,1.29,0,0,0,0,0,0,0,0,0,0
Mì quảng,541,22.4,20.2,67.4,2.73,0,0,0,0,0,0,0,0,0,0
Miến gà,635,17.8,18.1,100.2,6.4,0,0,0,0,0,0,0,0,0,0
Phở bò chín,456,20.9,12.2,59.3,2.28,0,0,0,0,0,0,0,0,0,0
Phở bò tái,431,16.7,14.1,59.6,2.21,0,0,0,0,0,0,0,0,0,0
Phở gà,483,21.3,17.9,59.3,2.28,0,0,0,0,0,0,0,0,0,0
Xôi bắp,313,8.2,8.3,51.3,1.55,0,0,0,0,0,0,0,0,0,0
Xôi cúc,395,10.4,10.5,65,1.29,0,0,0,0,0,0,0,0,0,0
Xôi đậu đen,550,17.4,11.1,95.6,2.86,0,0,0,0,0,0,0,0,0,0
Xôi đậu phộng,659,19.9,28.3,81.4,2.48,0,0,0,0,0,0,0,0,0,0
Xôi đậu xanh,532,15.4,11.2,92.8,2.73,0,0,0,0,0,0,0,0,0,0
Xôi gấc,589,12.1,13.8,102.4,2.25,0,0,0,0,0,0,0,0,0,0
Xôi mặn,499,17.9,18.9,64.7,0.63,0,0,0,0,0,0,0,0,0,0
Xôi nếp cẩm,577,15,11.3,104.3,2.39,0,0,0,0,0,0,0,0,0,0
