NAME,E,Protein,Lipit,Carbs,Fi,Cholesterol,Canxi,Photpho,Fe,Natri,Kali,B.Ca,A,b1,c
Bầu xào trứng,388,32,23.28,12.6,4,18,85.65,106.3,0.881,12.74,605.28,48.43,21,0.0848,48
Bông cải xào thập cẩm,417.3,53.93,3.06,43.61,5.72,0,203.3,623.6,6.632,43.4,638.1,3403.9,30,0.629,66.4
Bún xào,570,23.4,28,56,2.17,0,0,0,0,0,0,0,0,0,0
Cà chua dồn thịt,512.6,60,21.88,19.12,3.68,0,86.2,689.6,8.92,68.8,1206.4,4886,0,2.964,163.2
Cá lóc kho,388,72.8,10.8,0,0,0,360,960,0,0,0,0,0,0.16,0
Cơm trắng,195,3.57,0.315,42.9,0.45,0,4.5,55.5,2.235,0,43.5,0,0,0.2505,0
Đậu hủ dồn thịt,313,34.2,14,12.8,2.9,0,413,435,9.9,36,825,1179,0,1.12,120
Đậu hủ sốt cà,460,46,22.4,18.8,4.8,0,144,444,14.4,48,1100,1572,0,0.36,160
Gà kho gừng,301,21.9,19.1,10.3,0.91,0,0,0,0,0,0,0,0,0,0
Gà rô ti,300,20.3,23.1,2.8,0,0,0,0,0,0,0,0,0,0,0
Khoai tây bò bít tết,269,33.5,5.7,21,1,88.5,28,389,5.85,131.5,963,29,18,0.25,11.5
Sườn nướng,561,53.7,38.4,0,0,198,21,480,1.8,0,0,0,0,2.88,0
Sườn ram,561,53.7,38.4,0,0,198,21,480,1.8,0,0,0,0,2.88,0
Thịt bò xào đậu que,382,52,7.6,26.6,2,118,76,696,7.6,358,1264,360,24,0.88,52
Thịt bò xào hành tây,264.7,43.26,7.67,5.74,0.77,118,50.6,492.6,6.76,171.6,910.7,0.7,24,0.221,9
Thịt bò xào măng,231.62,38.99,6.042,5.6,16.4,93.81,91.08,475.34,8.529,167.97,2545.02,60,19.08,0.599,37.59
Thịt bò xào nấm rơm,525,73.8,21,10.2,3.3,177,120,918,12.9,249,1134,0,36,0.66,9
Thịt heo quay,520,33,43,0,0,0,18,356,3,0,0,0,20,1.06,4
Thịt kho tiêu,695,95,35,0,0,0,35,950,5,0,0,0,0,4.5,0
Bò tái chanh,639.2,107.16,19.12,9.84,1.32,295,105.6,1199.6,16.46,424.6,2155.2,1.2,60,0.536,17
Chả giò,1000.7,92.29,19.76,113.49,2.8,0,256.4,1121.2,16.92,40,274.6,4146.5,0,2.39,4.2
Cá sốt cà,270.2,41.96,7.02,9.64,1.82,0,201.6,383.6,2.96,25.6,594.2,786.2,0,0.126,82
Cá hường chiên,208,39.4,5.6,0,0,56,94,318,3.54,174,826,0,15.8,0.66,1.3
Chả cá thác lác chiên,133,11.3,9.7,0.2,0.04,0,0,0,0,0,0,0,0,0,0
Gà xào xả ớt,272,20.4,19.1,4.7,0,0,0,0,0,0,0,0,0,0,0
Khổ qua xào trứng,364,31.4,23.6,6.6,2.2,12,37.1,62.2,1.254,13.16,595.52,385.62,14,0.1432,44
Măng kho,1333,86.7,107.5,4.2,12.3,0,99,977,10.2,27,1458,45,50,2.98,37
Mực xào thập cẩm,459,84.87,5.02,18.99,3.28,0,150.6,859,7.01,75.4,2233.6,4898.2,0,0.262,87.8
Thịt kho trứng,749,86.6,44.2,1,0,12,22.1,574.2,3.054,3.16,3.52,5.62,14,2.7032,0
Miến xào,832,23.35,3.54,176.63,5.45,0,159.4,423.3,3.64,71.7,483.7,3334.2,0,0.106,43.2
